Total FP,Elements/Thread,num_fields,phase_limit,Device GFlop/s,Arithmetic Intensity,Global Loads/Block,phase3_shared_loads,Dimensions,Time Steps,Local Memory Size,Useful FP,num_sfu,EventElapsed,Max Work-Group Size,Padding,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,Device,data_size,Register Usage,phase4_global_stores,Actual GFlop/s,Padded Size,Max Blocks,Num Blocks (Shared),Shared Stores/Block,Global Stores/Block,Time Tile Size,Global Memory Size,phase2_global_loads,phase2_shared_loads,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,Real Size,num_fp,Problem Size,shared_stores,Max Compute Units,
2064384,6,1,2,66.1618,1,32256,27,3,64,49152,473088,0,0.262067,1024,3,28800,66,11,3,Tesla C2050,4,22,1,15.1621,138,8,2,9216,4608,3,2817720320,27,0,27,6,16,8,0.229167,0.262124,1000,64512,132,312,200,1,14,
2752512,6,1,2,63.1871,1,43008,27,3,64,49152,946176,0,0.18291,1024,3,36000,33,11,3,Tesla C2050,4,22,1,21.7206,138,8,2,12288,6144,3,2817720320,27,0,27,8,16,8,0.34375,0.182976,1000,86016,132,312,200,1,14,
774144,6,1,2,68.4143,1,12096,27,3,64,49152,143360,0,1.0911,1024,3,11648,100,10,25,Tesla C2050,4,22,1,12.6693,206,8,5,3456,1728,3,2817720320,27,0,27,6,24,2,0.185185,1.09114,1000,24192,200,312,200,1,14,
1032192,6,1,2,72.003,1,16128,27,3,64,49152,286720,0,0.691111,1024,3,14560,50,10,25,Tesla C2050,4,22,1,20.0008,206,8,4,4608,2304,3,2817720320,27,0,27,8,24,2,0.277778,0.691171,1000,32256,200,312,200,1,14,
1548288,6,1,2,71.0215,1,24192,27,3,64,49152,358400,0,0.840801,1024,3,21632,100,10,10,Tesla C2050,4,22,1,16.4402,206,8,3,6912,3456,3,2817720320,27,0,27,6,24,4,0.231481,0.840868,1000,48384,200,312,200,1,14,
2064384,6,1,2,75.4063,1,32256,27,3,64,49152,716800,0,0.527927,1024,3,27040,50,10,10,Tesla C2050,4,22,1,26.1828,206,8,2,9216,4608,3,2817720320,27,0,27,8,24,4,0.347222,0.527981,1000,64512,200,312,200,1,14,
2322432,6,1,2,71.133,1,36288,27,3,64,49152,573440,0,0.40292,1024,3,31616,80,8,5,Tesla C2050,4,22,1,17.5637,166,8,2,10368,5184,3,2817720320,27,0,27,6,24,6,0.246914,0.402984,1000,72576,160,312,200,1,14,
1032192,6,1,2,103.785,1,16128,27,3,64,49152,200704,0,0.405951,1024,3,15232,84,6,21,Tesla C2050,4,22,1,20.1804,174,8,4,4608,2304,3,2817720320,27,0,27,6,32,2,0.194444,0.406014,1000,32256,168,312,200,1,14,
1376256,6,1,2,111.296,1,21504,27,3,64,49152,401408,0,0.252343,1024,3,19040,42,6,21,Tesla C2050,4,22,1,32.4614,174,8,3,6144,3072,3,2817720320,27,0,27,8,32,2,0.291667,0.252409,1000,43008,168,312,200,1,14,
2064384,6,1,2,108.7,1,32256,27,3,64,49152,501760,0,0.179408,1024,3,28288,70,5,7,Tesla C2050,4,22,1,26.42,146,8,2,9216,4608,3,2817720320,27,0,27,6,32,4,0.243056,0.179471,1000,64512,140,312,200,1,14,
