Total FP,fb_subp1_read_sectors,Elements/Thread,num_fields,phase_limit,Device GFlop/s,l1_global_load_hit,Arithmetic Intensity,Global Loads/Block,phase3_shared_loads,Dimensions,Time Steps,Local Memory Size,Useful FP,EventElapsed,Max Work-Group Size,Padding,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,l1_global_load_miss,data_size,Register Usage,phase4_global_stores,Actual GFlop/s,Padded Size,Max Blocks,Num Blocks (Shared),Shared Stores/Block,Global Stores/Block,Time Tile Size,Global Memory Size,phase2_global_loads,phase2_shared_loads,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,fb_subp0_read_sectors,Real Size,Problem Size,shared_stores,Max Compute Units,
57344,2119919.937500,1,1,0,54.8258,1099586.062500,1,896,27,3,64,49152,57344,0.223006,1024,1,1728,96,12,48,159646.000000,4,20,1,54.8258,194,8,29,0,128,1,2817720320,27,0,27,2,16,4,1,0.223081,1000,0,2125645.125000,192,200,1,14,
114688,1974722.031250,1,1,0,55.0263,1133120.625000,1,1792,27,3,64,49152,114688,0.222196,1024,1,2592,48,12,48,114642.937500,4,20,1,55.0263,194,8,19,0,256,1,2817720320,27,0,27,4,16,4,1,0.222268,1000,0,1975028.859375,192,200,1,14,
172032,1873403.093750,1,1,0,54.2153,1139704.140625,1,2688,27,3,64,49152,172032,0.225515,1024,1,3456,32,12,48,105417.406250,4,20,1,54.2153,194,8,15,0,384,1,2817720320,27,0,27,6,16,4,1,0.225593,1000,0,1873485.640625,192,200,1,14,
229376,1824701.718750,1,1,0,54.9521,1128828.406250,1,3584,27,3,64,49152,229376,0.222498,1024,1,4320,24,12,48,115681.437500,4,20,1,54.9521,194,8,12,0,512,1,2817720320,27,0,27,8,16,4,1,0.222568,1000,0,1824663.781250,192,200,1,14,
86016,2071094.250000,1,1,0,48.4969,904096.171875,1,1344,27,3,64,49152,86016,0.252125,1024,1,2304,96,12,32,346211.375000,4,20,1,48.4969,194,8,22,0,192,1,2817720320,27,0,27,2,16,6,1,0.252193,1000,0,2070613.828125,192,200,1,14,
172032,1980012.265625,1,1,0,58.7075,1134560.468750,1,2688,27,3,64,49152,172032,0.208259,1024,1,3456,48,12,32,112562.656250,4,20,1,58.7075,194,8,15,0,384,1,2817720320,27,0,27,4,16,6,1,0.208331,1000,0,1980497.640625,192,200,1,14,
258048,1874095.937500,1,1,0,56.9678,1115317.390625,1,4032,27,3,64,49152,258048,0.214616,1024,1,4608,32,12,32,131318.937500,4,20,1,56.9678,194,8,11,0,576,1,2817720320,27,0,27,6,16,6,1,0.214693,1000,0,1874340.546875,192,200,1,14,
344064,1824062.687500,1,1,0,55.5789,1063497.125000,1,5376,27,3,64,49152,344064,0.219992,1024,1,5760,24,12,32,181365.296875,4,20,1,55.5789,194,8,9,0,768,1,2817720320,27,0,27,8,16,6,1,0.220058,1000,0,1824360.343750,192,200,1,14,
114688,2125075.796875,1,1,0,57.9836,1115716.796875,1,1792,27,3,64,49152,114688,0.210871,1024,1,2880,96,12,24,144780.171875,4,20,1,57.9836,194,8,18,0,256,1,2817720320,27,0,27,2,16,8,1,0.210932,1000,0,2132634.859375,192,200,1,14,
229376,1974083.062500,1,1,0,55.7469,1124704.375000,1,3584,27,3,64,49152,229376,0.219327,1024,1,4320,48,12,24,122944.843750,4,20,1,55.7469,194,8,12,0,512,1,2817720320,27,0,27,4,16,8,1,0.219395,1000,0,1974567.875000,192,200,1,14,
344064,1874687.531250,1,1,0,54.6755,1073721.718750,1,5376,27,3,64,49152,344064,0.223631,1024,1,5760,32,12,24,173262.312500,4,20,1,54.6755,194,8,9,0,768,1,2817720320,27,0,27,6,16,8,1,0.223694,1000,0,1875430.796875,192,200,1,14,
458752,1823815.859375,1,1,0,45.9613,967962.375000,1,7168,27,3,64,49152,458752,0.266045,1024,1,7200,24,12,24,276284.468750,4,20,1,45.9613,194,8,7,0,1024,1,2817720320,27,0,27,8,16,8,1,0.266106,1000,0,1824819.171875,192,200,1,14,
86016,1939667.296875,1,1,0,59.1058,1128796.234375,1,1344,27,3,64,49152,86016,0.206864,1024,1,2496,48,8,96,117789.359375,4,20,1,59.1058,194,8,20,0,192,1,2817720320,27,0,27,4,24,2,1,0.206927,1000,0,1939761.437500,192,200,1,14,
