fb_subp1_read_sectors,Elements/Thread,num_fields,Total FP/Block,Actual GFlop/s,Device GFlop/s,l1_global_load_hit,Global Loads/Block,phase3_shared_loads,Dimensions,phase2_global_loads,phase2_shared_loads,EventElapsed,Time Steps,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,Real Per Block X,Real Per Block Y,l1_global_load_miss,data_size,Register Usage,phase4_global_stores,phase_limit,Padded Size,Useful FP/Block,Shared Stores/Block,Global Stores/Block,Time Tile Size,fb_subp0_read_sectors,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,shared_stores,
11255977.250000,1,1,33792,140.708,180.107,776843.156250,2304,13,2,13,0,0.687664,64,5712,1,200,600,30,10,445198.843750,4,17,1,0,6004,26400,1152,1152,2,11259959.500000,42,1,32,12,0.78125,0.68772,1000,2304,1,
10534711.750000,1,1,22528,93.0774,190.622,1341980.593750,1536,13,2,13,0,1.03961,64,4752,1,96,3000,62,2,611881.375000,4,17,1,0,6004,10912,768,768,2,10538974.937500,42,1,64,4,0.484375,1.03965,1000,1536,1,
11493781.187500,1,1,33792,122.921,188.806,1038478.437500,2304,13,2,13,0,0.78719,64,6336,1,96,1500,62,4,426420.812500,4,17,1,0,6004,21824,1152,1152,2,11496979.906250,42,1,64,6,0.645833,0.78724,1000,2304,1,
11458303.375000,1,1,45056,130.641,178.369,931592.187500,3072,13,2,13,0,0.740617,64,7920,1,96,1000,62,6,371285.468750,4,17,1,0,6004,32736,1536,1536,2,11461787.000000,42,1,64,8,0.726562,0.740716,1000,3072,1,
11349536.187500,1,1,56320,137.805,176.391,877872.875000,3840,13,2,13,0,0.702154,64,9504,1,96,750,62,8,343447.531250,4,17,1,0,6004,43648,1920,1920,2,11353428.468750,42,1,64,10,0.775,0.702208,1000,3840,1,
11282568.468750,1,1,67584,145.13,178.336,843400.468750,4608,13,2,13,0,0.666713,64,11088,1,96,600,62,10,329107.750000,4,17,1,0,6004,54560,2304,2304,2,11286015.187500,42,1,64,12,0.807292,0.666767,1000,4608,1,
10492326.500000,1,1,33792,90.7163,182.884,1390747.625000,2304,13,2,13,0,1.06666,64,7056,1,63,3000,94,2,533384.093750,4,17,1,0,6004,16544,1152,1152,2,10497535.125000,42,1,96,4,0.489583,1.06671,1000,2304,1,
11445276.843750,1,1,50688,116.276,175.81,1061409.687500,3456,13,2,13,0,0.832171,64,9408,1,63,1500,94,4,381181.062500,4,17,1,0,6004,33088,1728,1728,2,11449416.031250,42,1,96,6,0.652778,0.832226,1000,3456,1,
11450831.812500,1,1,67584,132.218,177.701,950732.000000,4608,13,2,13,0,0.731828,64,11760,1,63,1000,94,6,331590.968750,4,17,1,0,6004,49632,2304,2304,2,11455022.531250,42,1,96,8,0.734375,0.731883,1000,4608,1,
11269378.562500,1,1,84480,115.276,145.247,879875.281250,5760,13,2,13,0,0.839398,64,14112,1,63,750,94,8,322276.750000,4,17,1,0,6004,66176,2880,2880,2,11276081.406250,42,1,96,10,0.783333,0.839448,1000,5760,1,
