Elements/Thread,num_fields,Total FP/Block,Actual GFlop/s,Device GFlop/s,Global Loads/Block,phase3_shared_loads,Dimensions,phase2_global_loads,phase2_shared_loads,num_sfu,EventElapsed,Time Steps,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,Device,Real Per Block X,Real Per Block Y,data_size,Register Usage,phase4_global_stores,phase_limit,Padded Size,Useful FP/Block,Shared Stores/Block,Global Stores/Block,Time Tile Size,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,num_fp,shared_stores,
1,1,2304,231.127,230.511,640,5,2,5,0,1,0.149464,64,816,1,187,1500,Tesla C2050,32,4,4,10,1,3,6002,2304,0,128,1,12,1,32,4,1,0.149528,1000,0,12,1,
1,1,3456,233.638,233.015,960,5,2,5,0,1,0.147858,64,1088,1,187,1000,Tesla C2050,32,6,4,10,1,3,6002,3456,0,192,1,12,1,32,6,1,0.147921,1000,0,12,1,
1,1,4608,233.343,232.721,1280,5,2,5,0,1,0.148048,64,1360,1,187,750,Tesla C2050,32,8,4,10,1,3,6002,4608,0,256,1,12,1,32,8,1,0.148108,1000,0,12,1,
1,1,5760,226.449,225.845,1600,5,2,5,0,1,0.152553,64,1632,1,187,600,Tesla C2050,32,10,4,10,1,3,6002,5760,0,320,1,12,1,32,10,1,0.152617,1000,0,12,1,
1,1,6912,230.611,229.996,1920,5,2,5,0,1,0.1498,64,1904,1,187,500,Tesla C2050,32,12,4,10,1,3,6002,6912,0,384,1,12,1,32,12,1,0.149863,1000,0,12,1,
1,1,4608,234.586,232.71,1280,5,2,5,0,1,0.14726,64,1584,1,93,1500,Tesla C2050,64,4,4,10,1,3,6002,4608,0,256,1,12,1,64,4,1,0.147323,1000,0,12,1,
1,1,6912,231.923,230.068,1920,5,2,5,0,1,0.148951,64,2112,1,93,1000,Tesla C2050,64,6,4,10,1,3,6002,6912,0,384,1,12,1,64,6,1,0.149015,1000,0,12,1,
1,1,9216,228.541,226.713,2560,5,2,5,0,1,0.151156,64,2640,1,93,750,Tesla C2050,64,8,4,10,1,3,6002,9216,0,512,1,12,1,64,8,1,0.15122,1000,0,12,1,
1,1,11520,203.743,202.114,3200,5,2,5,0,1,0.169562,64,3168,1,93,600,Tesla C2050,64,10,4,10,1,3,6002,11520,0,640,1,12,1,64,10,1,0.169625,1000,0,12,1,
1,1,13824,217.628,215.887,3840,5,2,5,0,1,0.158743,64,3696,1,93,500,Tesla C2050,64,12,4,10,1,3,6002,13824,0,768,1,12,1,64,12,1,0.158803,1000,0,12,1,
1,1,6912,231.834,229.98,1920,5,2,5,0,1,0.148999,64,2352,1,62,1500,Tesla C2050,96,4,4,10,1,3,6002,6912,0,384,1,12,1,96,4,1,0.149072,1000,0,12,1,
1,1,10368,202.521,200.901,2880,5,2,5,0,1,0.170585,64,3136,1,62,1000,Tesla C2050,96,6,4,10,1,3,6002,10368,0,576,1,12,1,96,6,1,0.170649,1000,0,12,1,
1,1,13824,221.556,219.783,3840,5,2,5,0,1,0.15592,64,3920,1,62,750,Tesla C2050,96,8,4,10,1,3,6002,13824,0,768,1,12,1,96,8,1,0.155988,1000,0,12,1,
1,1,17280,181.012,179.563,4800,5,2,5,0,1,0.190864,64,4704,1,62,600,Tesla C2050,96,10,4,10,1,3,6002,17280,0,960,1,12,1,96,10,1,0.190927,1000,0,12,1,
1,1,9216,230.97,226.659,2560,5,2,5,0,1,0.149566,64,3120,1,46,1500,Tesla C2050,128,4,4,10,1,3,6002,9216,0,512,1,12,1,128,4,1,0.14963,1000,0,12,1,
1,1,13824,221.496,217.361,3840,5,2,5,0,1,0.155958,64,4160,1,46,1000,Tesla C2050,128,6,4,10,1,3,6002,13824,0,768,1,12,1,128,6,1,0.15603,1000,0,12,1,
1,1,18432,188.734,185.211,5120,5,2,5,0,1,0.183054,64,5200,1,46,750,Tesla C2050,128,8,4,10,1,3,6002,18432,0,1024,1,12,1,128,8,1,0.183115,1000,0,12,1,
1,1,4608,88.6304,189.078,640,5,2,5,0,2,0.389867,64,816,1,200,3000,Tesla C2050,30,2,4,11,1,3,6004,2160,128,128,2,12,1,32,4,0.46875,0.389934,1000,640,24,1,
1,1,6912,118.405,189.448,960,5,2,5,0,2,0.291814,64,1088,1,200,1500,Tesla C2050,30,4,4,11,1,3,6004,4320,192,192,2,12,1,32,6,0.625,0.291879,1000,960,24,1,
1,1,9216,133.407,189.734,1280,5,2,5,0,2,0.258992,64,1360,1,200,1000,Tesla C2050,30,6,4,11,1,3,6004,6480,256,256,2,12,1,32,8,0.703125,0.259057,1000,1280,24,1,
1,1,11520,142.067,189.423,1600,5,2,5,0,2,0.243202,64,1632,1,200,750,Tesla C2050,30,8,4,11,1,3,6004,8640,320,320,2,12,1,32,10,0.75,0.243265,1000,1600,24,1,
1,1,13824,148.322,189.853,1920,5,2,5,0,2,0.232946,64,1904,1,200,600,Tesla C2050,30,10,4,11,1,3,6004,10800,384,384,2,12,1,32,12,0.78125,0.233006,1000,1920,24,1,
1,1,9216,92.6293,189.705,1280,5,2,5,0,2,0.373037,64,1584,1,96,3000,Tesla C2050,62,2,4,11,1,3,6004,4464,256,256,2,12,1,64,4,0.484375,0.3731,1000,1280,24,1,
1,1,13824,123.575,189.811,1920,5,2,5,0,2,0.279608,64,2112,1,96,1500,Tesla C2050,62,4,4,11,1,3,6004,8928,384,384,2,12,1,64,6,0.645833,0.279668,1000,1920,24,1,
1,1,18432,138.503,189.103,2560,5,2,5,0,2,0.249462,64,2640,1,96,1000,Tesla C2050,62,6,4,11,1,3,6004,13392,512,512,2,12,1,64,8,0.726562,0.249525,1000,2560,24,1,
1,1,23040,140.993,180.471,3200,5,2,5,0,2,0.245059,64,3168,1,96,750,Tesla C2050,62,8,4,11,1,3,6004,17856,640,640,2,12,1,64,10,0.775,0.245119,1000,3200,24,1,
1,1,27648,148.949,183.028,3840,5,2,5,0,2,0.231961,64,3696,1,96,600,Tesla C2050,62,10,4,11,1,3,6004,22320,768,768,2,12,1,64,12,0.807292,0.232026,1000,3840,24,1,
1,1,13824,94.1102,189.726,1920,5,2,5,0,2,0.367171,64,2352,1,63,3000,Tesla C2050,94,2,4,11,1,3,6004,6768,384,384,2,12,1,96,4,0.489583,0.367229,1000,1920,24,1,
1,1,20736,118.259,178.807,2880,5,2,5,0,2,0.29218,64,3136,1,63,1500,Tesla C2050,94,4,4,11,1,3,6004,13536,576,576,2,12,1,96,6,0.652778,0.292241,1000,2880,24,1,
1,1,27648,136.21,183.066,3840,5,2,5,0,2,0.253664,64,3920,1,63,1000,Tesla C2050,94,6,4,11,1,3,6004,20304,768,768,2,12,1,96,8,0.734375,0.253726,1000,3840,24,1,
