Elements/Thread,num_fields,Total FP/Block,Actual GFlop/s,Device GFlop/s,Global Loads/Block,phase3_shared_loads,Dimensions,phase2_global_loads,phase2_shared_loads,num_sfu,EventElapsed,Time Steps,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,Device,Real Per Block X,Real Per Block Y,data_size,Register Usage,phase4_global_stores,phase_limit,Padded Size,Useful FP/Block,Shared Stores/Block,Global Stores/Block,Time Tile Size,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,num_fp,shared_stores,
3,1,165888,321.426,503.996,11520,5,2,5,0,6,0.107456,64,10400,1,49,500,Tesla C2050,122,12,4,20,1,2,6008,105408,6912,2304,4,12,1,128,6,0.635417,0.107521,1000,34560,72,1,
3,1,221184,309.168,430.48,15360,5,2,5,0,6,0.111719,64,13520,1,49,333,Tesla C2050,122,18,4,20,1,2,6008,158112,9216,3072,4,12,1,128,8,0.714844,0.111784,1000,46080,72,1,
3,1,34560,189.168,756.67,1920,5,2,5,0,6,0.182631,64,1904,1,250,1500,Tesla C2050,24,4,4,20,1,2,6010,8640,1536,384,5,12,1,32,4,0.25,0.182695,1000,7680,72,1,
3,1,51840,279.603,671.047,2880,5,2,5,0,6,0.123542,64,2720,1,250,600,Tesla C2050,24,10,4,20,1,2,6010,21600,2304,576,5,12,1,32,6,0.416667,0.123604,1000,11520,72,1,
3,1,69120,314.611,629.222,3840,5,2,5,0,6,0.109784,64,3536,1,250,375,Tesla C2050,24,16,4,20,1,2,6010,34560,3072,768,5,12,1,32,8,0.5,0.10985,1000,15360,72,1,
3,1,86400,336.645,610.45,4800,5,2,5,0,6,0.102599,64,4352,1,250,272,Tesla C2050,24,22,4,20,1,2,6010,47520,3840,960,5,12,1,32,10,0.55,0.10266,1000,19200,72,1,
3,1,103680,351.616,601.967,5760,5,2,5,0,6,0.0982247,64,5168,1,250,214,Tesla C2050,24,28,4,20,1,2,6010,60480,4608,1152,5,12,1,32,12,0.583333,0.098289,1000,23040,72,1,
3,1,69120,210.637,721.22,3840,5,2,5,0,6,0.164011,64,3696,1,107,1500,Tesla C2050,56,4,4,20,1,2,6010,20160,3072,768,5,12,1,64,4,0.291667,0.164074,1000,15360,72,1,
3,1,103680,294.732,605.498,5760,5,2,5,0,6,0.117194,64,5280,1,107,600,Tesla C2050,56,10,4,20,1,2,6010,50400,4608,1152,5,12,1,64,6,0.486111,0.117259,1000,23040,72,1,
3,1,138240,356.37,610.105,7680,5,2,5,0,6,0.0969127,64,6864,1,107,375,Tesla C2050,56,16,4,20,1,2,6010,80640,6144,1536,5,12,1,64,8,0.583333,0.0969779,1000,30720,72,1,
3,1,172800,390.937,606.818,9600,5,2,5,0,6,0.0883374,64,8448,1,107,272,Tesla C2050,56,22,4,20,1,2,6010,110880,7680,1920,5,12,1,64,10,0.641667,0.088403,1000,38400,72,1,
3,1,207360,411.528,604.694,11520,5,2,5,0,6,0.08369,64,10032,1,107,214,Tesla C2050,56,28,4,20,1,2,6002,141120,9216,2304,5,12,1,64,12,0.680556,0.083756,1000,46080,72,1,
3,1,103680,197.41,644.347,5760,5,2,5,0,6,0.175004,64,5488,1,68,1500,Tesla C2050,88,4,4,20,1,2,6010,31680,4608,1152,5,12,1,96,4,0.305556,0.175067,1000,23040,72,1,
3,1,155520,318.792,624.323,8640,5,2,5,0,6,0.108345,64,7840,1,68,600,Tesla C2050,88,10,4,20,1,2,6010,79200,6912,1728,5,12,1,96,6,0.509259,0.108409,1000,34560,72,1,
3,1,207360,375.273,612.445,11520,5,2,5,0,6,0.092028,64,10192,1,68,375,Tesla C2050,88,16,4,20,1,2,6010,126720,9216,2304,5,12,1,96,8,0.611111,0.092093,1000,46080,72,1,
3,1,259200,364.623,542.414,14400,5,2,5,0,6,0.0942151,64,12544,1,68,272,Tesla C2050,88,22,4,20,1,2,5994,174240,11520,2880,5,12,1,96,10,0.672222,0.0942781,1000,57600,72,1,
3,1,138240,203.2,650.239,7680,5,2,5,0,6,0.170017,64,7280,1,50,1500,Tesla C2050,120,4,4,20,1,2,6010,43200,6144,1536,5,12,1,128,4,0.3125,0.170079,1000,30720,72,1,
3,1,207360,328.843,631.378,11520,5,2,5,0,6,0.105031,64,10400,1,50,600,Tesla C2050,120,10,4,20,1,2,6010,108000,9216,2304,5,12,1,128,6,0.520833,0.105096,1000,46080,72,1,
3,1,276480,333.546,533.674,15360,5,2,5,0,6,0.103548,64,13520,1,50,375,Tesla C2050,120,16,4,20,1,2,6010,172800,12288,3072,5,12,1,128,8,0.625,0.103614,1000,61440,72,1,
3,1,41472,108.975,948.515,1920,5,2,5,0,6,0.317082,64,1904,1,272,3000,Tesla C2050,22,2,4,20,1,2,6012,4752,1920,384,6,12,1,32,4,0.114583,0.317138,1000,9600,72,1,
3,1,62208,253.607,827.772,2880,5,2,5,0,6,0.13621,64,2720,1,272,750,Tesla C2050,22,8,4,20,1,2,6012,19008,2880,576,6,12,1,32,6,0.305556,0.136274,1000,14400,72,1,
3,1,82944,302.333,750.857,3840,5,2,5,0,6,0.114241,64,3536,1,272,428,Tesla C2050,22,14,4,20,1,2,6012,33264,3840,768,6,12,1,32,8,0.401042,0.114311,1000,19200,72,1,
3,1,103680,333.22,725.087,4800,5,2,5,0,6,0.103649,64,4352,1,272,300,Tesla C2050,22,20,4,20,1,2,6012,47520,4800,960,6,12,1,32,10,0.458333,0.103715,1000,24000,72,1,
3,1,124416,357.897,716.481,5760,5,2,5,0,6,0.0965001,64,5168,1,272,230,Tesla C2050,22,26,4,20,1,2,6012,61776,5760,1152,6,12,1,32,12,0.496528,0.0965641,1000,28800,72,1,
3,1,82944,120.028,852.679,3840,5,2,5,0,6,0.287873,64,3696,1,111,3000,Tesla C2050,54,2,4,20,1,2,6012,11664,3840,768,6,12,1,64,4,0.140625,0.287933,1000,19200,72,1,
3,1,124416,275.023,732.662,5760,5,2,5,0,6,0.125594,64,5280,1,111,750,Tesla C2050,54,8,4,20,1,2,6012,46656,5760,1152,6,12,1,64,6,0.375,0.125662,1000,28800,72,1,
3,1,165888,362.203,734.189,7680,5,2,5,0,6,0.0953514,64,6864,1,111,428,Tesla C2050,54,14,4,20,1,2,6012,81648,7680,1536,6,12,1,64,8,0.492188,0.0954161,1000,38400,72,1,
3,1,207360,409.367,727.035,9600,5,2,5,0,6,0.084358,64,8448,1,111,300,Tesla C2050,54,20,4,20,1,2,6012,116640,9600,1920,6,12,1,64,10,0.5625,0.0844231,1000,48000,72,1,
3,1,248832,443.288,724.297,11520,5,2,5,0,6,0.0779017,64,10032,1,111,230,Tesla C2050,54,26,4,20,1,2,6012,151632,11520,2304,6,12,1,64,12,0.609375,0.0779629,1000,57600,72,1,
3,1,124416,117.347,777.307,5760,5,2,5,0,6,0.294448,64,5488,1,69,3000,Tesla C2050,86,2,4,20,1,2,6012,18576,5760,1152,6,12,1,96,4,0.149306,0.294511,1000,28800,72,1,
3,1,186624,301.205,748.194,8640,5,2,5,0,6,0.114675,64,7840,1,69,750,Tesla C2050,86,8,4,20,1,2,6012,74304,8640,1728,6,12,1,96,6,0.398148,0.114739,1000,43200,72,1,
3,1,248832,388.066,733.464,11520,5,2,5,0,6,0.088994,64,10192,1,69,428,Tesla C2050,86,14,4,20,1,2,6012,130032,11520,2304,6,12,1,96,8,0.522569,0.089057,1000,57600,72,1,
3,1,311040,381.698,632.092,14400,5,2,5,0,6,0.0904782,64,12544,1,69,300,Tesla C2050,86,20,4,20,1,2,6012,185760,14400,2880,6,12,1,96,10,0.597222,0.0905428,1000,72000,72,1,
3,1,165888,121.72,779.009,7680,5,2,5,0,6,0.283869,64,7280,1,50,3000,Tesla C2050,118,2,4,20,1,2,6012,25488,7680,1536,6,12,1,128,4,0.153646,0.28393,1000,38400,72,1,
3,1,248832,314.657,755.176,11520,5,2,5,0,6,0.109773,64,10400,1,50,750,Tesla C2050,118,8,4,20,1,2,6012,101952,11520,2304,6,12,1,128,6,0.409722,0.109834,1000,57600,72,1,
3,1,331776,349.561,638.345,15360,5,2,5,0,6,0.0988025,64,13520,1,50,428,Tesla C2050,118,14,4,20,1,2,6012,178416,15360,3072,6,12,1,128,8,0.53776,0.0988669,1000,76800,72,1,
3,1,72576,193.097,926.868,2880,5,2,5,0,6,0.178912,64,2720,1,300,1000,Tesla C2050,20,6,4,20,1,2,6014,15120,3456,576,7,12,1,32,6,0.208333,0.178977,1000,17280,72,1,
3,1,96768,261.191,835.812,3840,5,2,5,0,6,0.132257,64,3536,1,300,500,Tesla C2050,20,12,4,20,1,2,6014,30240,4608,768,7,12,1,32,8,0.3125,0.132317,1000,23040,72,1,
3,1,120960,296.876,790.878,4800,5,2,5,0,6,0.116351,64,4352,1,300,333,Tesla C2050,20,18,4,20,1,2,6014,45360,5760,960,7,12,1,32,10,0.375,0.116412,1000,28800,72,1,
