Elements/Thread,num_fields,Total FP/Block,Actual GFlop/s,Device GFlop/s,Global Loads/Block,phase3_shared_loads,Dimensions,phase2_global_loads,phase2_shared_loads,num_sfu,EventElapsed,Time Steps,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,Device,Real Per Block X,Real Per Block Y,data_size,Register Usage,phase4_global_stores,phase_limit,Padded Size,Useful FP/Block,Shared Stores/Block,Global Stores/Block,Time Tile Size,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,num_fp,shared_stores,
1,1,5632,174.674,174.208,768,13,2,13,0,3,0.553933,64,2448,1,187,1500,Tesla C2050,32,4,4,16,1,2,6002,5632,0,384,1,42,1,32,4,1,0.553993,1000,0,45,1,
1,1,8448,162.121,161.689,1152,13,2,13,0,3,0.596831,64,3264,1,187,1000,Tesla C2050,32,6,4,16,1,2,6002,8448,0,576,1,42,1,32,6,1,0.596888,1000,0,45,1,
1,1,11264,162.264,161.831,1536,13,2,13,0,3,0.596308,64,4080,1,187,750,Tesla C2050,32,8,4,16,1,2,6002,11264,0,768,1,42,1,32,8,1,0.596362,1000,0,45,1,
1,1,14080,151.004,150.602,1920,13,2,13,0,3,0.640773,64,4896,1,187,600,Tesla C2050,32,10,4,16,1,2,6002,14080,0,960,1,42,1,32,10,1,0.64083,1000,0,45,1,
1,1,16896,151.994,151.589,2304,13,2,13,0,3,0.636594,64,5712,1,187,500,Tesla C2050,32,12,4,16,1,2,6002,16896,0,1152,1,42,1,32,12,1,0.636655,1000,0,45,1,
1,1,11264,159.008,157.736,1536,13,2,13,0,3,0.608513,64,4752,1,93,1500,Tesla C2050,64,4,4,16,1,2,6002,11264,0,768,1,42,1,64,4,1,0.608574,1000,0,45,1,
1,1,16896,145.286,144.124,2304,13,2,13,0,3,0.665993,64,6336,1,93,1000,Tesla C2050,64,6,4,16,1,2,6002,16896,0,1152,1,42,1,64,6,1,0.666051,1000,0,45,1,
1,1,22528,151.847,150.632,3072,13,2,13,0,3,0.637217,64,7920,1,93,750,Tesla C2050,64,8,4,16,1,2,6002,22528,0,1536,1,42,1,64,8,1,0.637272,1000,0,45,1,
1,1,28160,158.55,157.282,3840,13,2,13,0,3,0.610275,64,9504,1,93,600,Tesla C2050,64,10,4,16,1,2,6002,28160,0,1920,1,42,1,64,10,1,0.61033,1000,0,45,1,
1,1,33792,164.035,162.722,4608,13,2,13,0,3,0.589864,64,11088,1,93,500,Tesla C2050,64,12,4,16,1,2,6002,33792,0,2304,1,42,1,64,12,1,0.589924,1000,0,45,1,
1,1,16896,146.93,145.755,2304,13,2,13,0,3,0.658545,64,7056,1,62,1500,Tesla C2050,96,4,4,16,1,2,6002,16896,0,1152,1,42,1,96,4,1,0.658599,1000,0,45,1,
1,1,25344,153.072,151.848,3456,13,2,13,0,3,0.632117,64,9408,1,62,1000,Tesla C2050,96,6,4,16,1,2,6002,25344,0,1728,1,42,1,96,6,1,0.632171,1000,0,45,1,
1,1,33792,157.662,156.401,4608,13,2,13,0,3,0.613706,64,11760,1,62,750,Tesla C2050,96,8,4,16,1,2,6002,33792,0,2304,1,42,1,96,8,1,0.613767,1000,0,45,1,
1,1,42240,130.111,129.07,5760,13,2,13,0,3,0.743677,64,14112,1,62,600,Tesla C2050,96,10,4,16,1,2,6002,42240,0,2880,1,42,1,96,10,1,0.743734,1000,0,45,1,
1,1,22528,154.031,151.156,3072,13,2,13,0,3,0.62818,64,9360,1,46,1500,Tesla C2050,128,4,4,16,1,2,6002,22528,0,1536,1,42,1,128,4,1,0.628237,1000,0,45,1,
1,1,33792,163.057,160.014,4608,13,2,13,0,3,0.593405,64,12480,1,46,1000,Tesla C2050,128,6,4,16,1,2,6002,33792,0,2304,1,42,1,128,6,1,0.59346,1000,0,45,1,
1,1,45056,132.456,129.984,6144,13,2,13,0,3,0.730515,64,15600,1,46,750,Tesla C2050,128,8,4,16,1,2,6002,45056,0,3072,1,42,1,128,8,1,0.730566,1000,0,45,1,
1,1,11264,157.632,336.282,768,13,2,13,0,6,0.613827,64,2448,1,200,3000,Tesla C2050,30,2,4,17,1,2,6004,5280,384,384,2,42,1,32,4,0.46875,0.613885,1000,768,87,1,
1,1,16896,194.703,311.525,1152,13,2,13,0,6,0.49694,64,3264,1,200,1500,Tesla C2050,30,4,4,17,1,2,6004,10560,576,576,2,42,1,32,6,0.625,0.497002,1000,1152,87,1,
1,1,22528,221.63,315.208,1536,13,2,13,0,6,0.436557,64,4080,1,200,1000,Tesla C2050,30,6,4,17,1,2,6004,15840,768,768,2,42,1,32,8,0.703125,0.436619,1000,1536,87,1,
1,1,28160,212.297,283.063,1920,13,2,13,0,6,0.455754,64,4896,1,200,750,Tesla C2050,30,8,4,17,1,2,6004,21120,960,960,2,42,1,32,10,0.75,0.455814,1000,1920,87,1,
1,1,33792,219.63,281.126,2304,13,2,13,0,6,0.440539,64,5712,1,200,600,Tesla C2050,30,10,4,17,1,2,6004,26400,1152,1152,2,42,1,32,12,0.78125,0.440596,1000,2304,87,1,
1,1,22528,148.773,304.687,1536,13,2,13,0,6,0.650382,64,4752,1,96,3000,Tesla C2050,62,2,4,17,1,2,6004,10912,768,768,2,42,1,64,4,0.484375,0.650441,1000,1536,87,1,
1,1,33792,183.382,281.676,2304,13,2,13,0,6,0.527629,64,6336,1,96,1500,Tesla C2050,62,4,4,17,1,2,6004,21824,1152,1152,2,42,1,64,6,0.645833,0.527684,1000,2304,87,1,
1,1,45056,214.025,292.215,3072,13,2,13,0,6,0.452071,64,7920,1,96,1000,Tesla C2050,62,6,4,17,1,2,6004,32736,1536,1536,2,42,1,64,8,0.726562,0.452135,1000,3072,87,1,
1,1,56320,233.195,298.49,3840,13,2,13,0,6,0.414908,64,9504,1,96,750,Tesla C2050,62,8,4,17,1,2,6004,43648,1920,1920,2,42,1,64,10,0.775,0.414965,1000,3840,87,1,
1,1,67584,246.149,302.468,4608,13,2,13,0,6,0.393071,64,11088,1,96,600,Tesla C2050,62,10,4,17,1,2,6004,54560,2304,2304,2,42,1,64,12,0.807292,0.393128,1000,4608,87,1,
1,1,33792,142.105,286.483,2304,13,2,13,0,6,0.680906,64,7056,1,63,3000,Tesla C2050,94,2,4,17,1,2,6004,16544,1152,1152,2,42,1,96,4,0.489583,0.680963,1000,2304,87,1,
1,1,50688,192.807,291.524,3456,13,2,13,0,6,0.501835,64,9408,1,63,1500,Tesla C2050,94,4,4,17,1,2,6004,33088,1728,1728,2,42,1,96,6,0.652778,0.501891,1000,3456,87,1,
1,1,67584,215.449,289.564,4608,13,2,13,0,6,0.449089,64,11760,1,63,1000,Tesla C2050,94,6,4,17,1,2,6004,49632,2304,2304,2,42,1,96,8,0.734375,0.449145,1000,4608,87,1,
1,1,84480,193.731,244.101,5760,13,2,13,0,6,0.499431,64,14112,1,63,750,Tesla C2050,94,8,4,17,1,2,6004,66176,2880,2880,2,42,1,96,10,0.783333,0.499497,1000,5760,87,1,
1,1,45056,149.365,299.526,3072,13,2,13,0,6,0.647799,64,9360,1,47,3000,Tesla C2050,126,2,4,17,1,2,6004,22176,1536,1536,2,42,1,128,4,0.492188,0.647864,1000,3072,87,1,
1,1,67584,197.599,297.19,4608,13,2,13,0,6,0.489653,64,12480,1,47,1500,Tesla C2050,126,4,4,17,1,2,6004,44352,2304,2304,2,42,1,128,6,0.65625,0.489718,1000,4608,87,1,
1,1,90112,184.201,246.257,6144,13,2,13,0,6,0.525246,64,15600,1,47,1000,Tesla C2050,126,6,4,17,1,2,6004,66528,3072,3072,2,42,1,128,8,0.738281,0.525338,1000,6144,87,1,
1,1,25344,139.115,476.331,1152,13,2,13,0,6,0.695537,64,3264,1,214,3000,Tesla C2050,28,2,4,17,1,2,6006,7392,1152,576,3,42,1,32,6,0.291667,0.695595,1000,2304,87,1,
1,1,33792,206.508,471.389,1536,13,2,13,0,6,0.468535,64,4080,1,214,1500,Tesla C2050,28,4,4,17,1,2,6006,14784,1536,768,3,42,1,32,8,0.4375,0.468592,1000,3072,87,1,
1,1,42240,226.436,430.732,1920,13,2,13,0,6,0.427294,64,4896,1,214,1000,Tesla C2050,28,6,4,17,1,2,6006,22176,1920,960,3,42,1,32,10,0.525,0.427352,1000,3840,87,1,
1,1,50688,239.827,410.584,2304,13,2,13,0,6,0.403427,64,5712,1,214,750,Tesla C2050,28,8,4,17,1,2,6006,29568,2304,1152,3,42,1,32,12,0.583333,0.403491,1000,4608,87,1,
1,1,50688,133.086,425.876,2304,13,2,13,0,6,0.727047,64,6336,1,100,3000,Tesla C2050,60,2,4,17,1,2,6006,15840,2304,1152,3,42,1,64,6,0.3125,0.727107,1000,4608,87,1,
1,1,67584,203.455,434.037,3072,13,2,13,0,6,0.475564,64,7920,1,100,1500,Tesla C2050,60,4,4,17,1,2,6006,31680,3072,1536,3,42,1,64,8,0.46875,0.475624,1000,6144,87,1,
1,1,84480,243.259,432.46,3840,13,2,13,0,6,0.397741,64,9504,1,100,1000,Tesla C2050,60,6,4,17,1,2,6006,47520,3840,1920,3,42,1,64,10,0.5625,0.397799,1000,7680,87,1,
1,1,101376,276.299,442.079,4608,13,2,13,0,6,0.350168,64,11088,1,100,750,Tesla C2050,60,8,4,17,1,2,6006,63360,4608,2304,3,42,1,64,12,0.625,0.350229,1000,9216,87,1,
1,1,76032,140.533,438.464,3456,13,2,13,0,6,0.688524,64,9408,1,65,3000,Tesla C2050,92,2,4,17,1,2,6006,24288,3456,1728,3,42,1,96,6,0.319444,0.688577,1000,6912,87,1,
1,1,101376,205.09,426.587,4608,13,2,13,0,6,0.471773,64,11760,1,65,1500,Tesla C2050,92,4,4,17,1,2,6006,48576,4608,2304,3,42,1,96,8,0.479167,0.471832,1000,9216,87,1,
1,1,126720,206.648,358.189,5760,13,2,13,0,6,0.468218,64,14112,1,65,1000,Tesla C2050,92,6,4,17,1,2,6006,72864,5760,2880,3,42,1,96,10,0.575,0.468275,1000,11520,87,1,
