Total FP,fb_subp1_read_sectors,Elements/Thread,num_fields,phase_limit,Device GFlop/s,l1_global_load_hit,Arithmetic Intensity,Global Loads/Block,phase3_shared_loads,Dimensions,Time Steps,Local Memory Size,Useful FP,EventElapsed,Max Work-Group Size,Padding,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,l1_global_load_miss,data_size,Register Usage,phase4_global_stores,Actual GFlop/s,Padded Size,Max Blocks,Num Blocks (Shared),Shared Stores/Block,Global Stores/Block,Time Tile Size,Global Memory Size,phase2_global_loads,phase2_shared_loads,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,fb_subp0_read_sectors,Real Size,Problem Size,shared_stores,Max Compute Units,
344064,1063265.562500,3,1,0,61.8978,241911.343750,1,5376,5,3,64,49152,125440,0.0544101,1024,2,6048,70,10,14,104707.093750,4,20,1,22.5669,144,8,9,768,768,2,2817720320,7,0,7,4,16,4,0.364583,0.0544741,1000,5376,1062344.718750,140,200,1,14,
516096,344422.281250,3,1,0,58.7297,109217.031250,1,8064,5,3,64,49152,200704,0.0275069,1024,2,8640,56,8,7,58215.312500,4,20,1,22.8393,116,8,6,1152,1152,2,2817720320,7,0,7,4,16,6,0.388889,0.0275581,1000,8064,344460.531250,112,200,1,14,
688128,1892775.000000,3,1,0,54.2051,227898.218750,1,10752,5,3,64,49152,275968,0.0752029,1024,2,11232,77,11,7,193239.093750,4,20,1,21.7385,158,8,5,1536,1536,2,2817720320,7,0,7,4,16,8,0.401042,0.075268,1000,10752,1894263.625000,154,200,1,14,
774144,2929609.843750,3,1,0,63.9197,426299.218750,1,12096,5,3,64,49152,315392,0.0937219,1024,2,12480,88,8,11,193652.531250,4,20,1,26.0414,180,8,4,1728,1728,2,2817720320,7,0,7,4,24,6,0.407407,0.0937891,1000,12096,2928366.218750,176,200,1,14,
1032192,4250618.156250,3,1,0,55.9913,456846.281250,1,16128,5,3,64,49152,433664,0.147764,1024,2,16224,99,9,9,397921.312500,4,20,1,23.5241,202,8,4,2304,2304,2,2817720320,7,0,7,4,24,8,0.420139,0.147829,1000,16128,4248317.937500,198,200,1,14,
129024,7419274.363636,3,1,0,62.3208,8351573.590909,1,2016,5,3,64,49152,7168,1.03511,1024,3,2560,100,50,100,2743829.863636,4,20,1,3.46227,206,8,20,576,288,3,2817720320,7,0,7,6,8,2,0.0555556,1.03516,1000,4032,7419510.363636,200,200,1,14,
172032,4811068.045455,3,1,0,58.7187,4889259.727273,1,2688,5,3,64,49152,14336,0.73239,1024,3,3200,50,50,100,2517276.363636,4,20,1,4.89322,206,8,16,768,384,3,2817720320,7,0,7,8,8,2,0.0833333,0.732442,1000,5376,4814740.681818,200,200,1,14,
344064,4890504.500000,3,1,0,42.3607,2314935.136364,1,5376,5,3,64,49152,57344,0.507589,1024,3,5600,50,50,25,1380618.772727,4,20,1,7.06012,206,8,9,1536,768,3,2817720320,7,0,7,8,8,4,0.166667,0.50764,1000,10752,4892722.181818,200,200,1,14,
387072,7010009.000000,3,1,0,54.6878,2470829.636364,1,6048,5,3,64,49152,50176,0.475775,1024,3,6400,98,49,14,2001577.636364,4,20,1,7.08915,202,8,8,1728,864,3,2817720320,7,0,7,6,8,6,0.12963,0.47583,1000,12096,7013357.727273,196,200,1,14,
516096,4634798.636364,3,1,0,40.074,1389347.727273,1,8064,5,3,64,49152,100352,0.432843,1024,3,8000,49,49,14,1593229.954545,4,20,1,7.79216,202,8,7,2304,1152,3,2817720320,7,0,7,8,8,6,0.194444,0.432901,1000,16128,4641295.500000,196,200,1,14,
516096,7433320.136364,3,1,0,42.6983,1629717.045455,1,8064,5,3,64,49152,71680,0.604297,1024,3,8320,100,50,10,2779556.409091,4,20,1,5.93032,206,8,6,2304,1152,3,2817720320,7,0,7,6,8,8,0.138889,0.604352,1000,16128,7435328.727273,200,200,1,14,
688128,5074124.409091,3,1,0,33.9918,1091472.090909,1,10752,5,3,64,49152,143360,0.50604,1024,3,10400,50,50,10,1865347.863636,4,20,1,7.08163,206,8,5,3072,1536,3,2817720320,7,0,7,8,8,8,0.208333,0.506098,1000,21504,5071980.318182,200,200,1,14,
344064,3876070.500000,3,1,0,74.517,1884933.454545,1,5376,5,3,64,49152,43008,0.340358,1024,3,5760,48,16,96,738502.500000,4,20,1,9.31463,198,8,9,1536,768,3,2817720320,7,0,7,8,16,2,0.125,0.340421,1000,10752,3877953.681818,192,200,1,14,
688128,3899783.000000,3,1,0,62.4736,694261.000000,1,10752,5,3,64,49152,172032,0.20296,1024,3,10080,48,16,24,616845.227273,4,20,1,15.6184,198,8,5,3072,1536,3,2817720320,7,0,7,8,16,4,0.25,0.203023,1000,21504,3900285.590909,192,200,1,14,
1032192,2572460.363636,3,1,0,57.3129,334874.227273,1,16128,5,3,64,49152,301056,0.127014,1024,3,14400,42,14,12,419363.181818,4,20,1,16.7163,174,8,4,4608,2304,3,2817720320,7,0,7,8,16,6,0.291667,0.127077,1000,32256,2580288.227273,168,200,1,14,
1376256,3261429.000000,3,1,0,45.02,323010.636364,1,21504,5,3,64,49152,430080,0.185641,1024,3,18720,45,15,9,536716.318182,4,20,1,14.0687,186,8,3,6144,3072,3,2817720320,7,0,7,8,16,8,0.3125,0.185712,1000,43008,3262708.363636,180,200,1,14,
1032192,4340956.818182,3,1,0,62.5835,778995.772727,1,16128,5,3,64,49152,286720,0.206098,1024,3,14560,50,10,25,555022.318182,4,20,1,17.3843,206,8,4,4608,2304,3,2817720320,7,0,7,8,24,4,0.277778,0.206163,1000,32256,4342856.636364,200,200,1,14,
