Total FP,Elements/Thread,num_fields,phase_limit,Device GFlop/s,Arithmetic Intensity,Global Loads/Block,phase3_shared_loads,Dimensions,Time Steps,Local Memory Size,Useful FP,num_sfu,EventElapsed,Max Work-Group Size,Padding,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,Device,data_size,Register Usage,phase4_global_stores,Actual GFlop/s,Padded Size,Max Blocks,Num Blocks (Shared),Shared Stores/Block,Global Stores/Block,Time Tile Size,Global Memory Size,phase2_global_loads,phase2_shared_loads,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,Real Size,num_fp,Problem Size,shared_stores,Max Compute Units,
172032,1,1,3,99.0969,1,2688,5,3,64,49152,172032,0,0.031934,1024,1,3456,32,12,48,Tesla C2050,4,11,1,99.0969,194,8,15,0,384,1,2817720320,7,0,7,6,16,4,1,0.0319979,1000,0,192,7,200,1,14,
229376,1,1,3,98.9546,1,3584,5,3,64,49152,229376,0,0.0319787,1024,1,4320,24,12,48,Tesla C2050,4,11,1,98.9546,194,8,12,0,512,1,2817720320,7,0,7,8,16,4,1,0.0320439,1000,0,192,7,200,1,14,
86016,1,1,3,99.0253,1,1344,5,3,64,49152,86016,0,0.0319538,1024,1,2304,96,12,32,Tesla C2050,4,11,1,99.0253,194,8,22,0,192,1,2817720320,7,0,7,2,16,6,1,0.032021,1000,0,192,7,200,1,14,
172032,1,1,3,99.0224,1,2688,5,3,64,49152,172032,0,0.031958,1024,1,3456,48,12,32,Tesla C2050,4,11,1,99.0224,194,8,15,0,384,1,2817720320,7,0,7,4,16,6,1,0.032022,1000,0,192,7,200,1,14,
258048,1,1,3,98.834,1,4032,5,3,64,49152,258048,0,0.0320147,1024,1,4608,32,12,32,Tesla C2050,4,11,1,98.834,194,8,11,0,576,1,2817720320,7,0,7,6,16,6,1,0.032083,1000,0,192,7,200,1,14,
344064,1,1,3,98.9112,1,5376,5,3,64,49152,344064,0,0.0319919,1024,1,5760,24,12,32,Tesla C2050,4,11,1,98.9112,194,8,9,0,768,1,2817720320,7,0,7,8,16,6,1,0.032058,1000,0,192,7,200,1,14,
114688,1,1,3,98.8465,1,1792,5,3,64,49152,114688,0,0.0320129,1024,1,2880,96,12,24,Tesla C2050,4,11,1,98.8465,194,8,18,0,256,1,2817720320,7,0,7,2,16,8,1,0.032079,1000,0,192,7,200,1,14,
229376,1,1,3,98.9053,1,3584,5,3,64,49152,229376,0,0.0319933,1024,1,4320,48,12,24,Tesla C2050,4,11,1,98.9053,194,8,12,0,512,1,2817720320,7,0,7,4,16,8,1,0.0320599,1000,0,192,7,200,1,14,
344064,1,1,3,99.6754,1,5376,5,3,64,49152,344064,0,0.0317466,1024,1,5760,32,12,24,Tesla C2050,4,11,1,99.6754,194,8,9,0,768,1,2817720320,7,0,7,6,16,8,1,0.0318122,1000,0,192,7,200,1,14,
458752,1,1,3,74.4026,1,7168,5,3,64,49152,458752,0,0.0425513,1024,1,7200,24,12,24,Tesla C2050,4,11,1,74.4026,194,8,7,0,1024,1,2817720320,7,0,7,8,16,8,1,0.042618,1000,0,192,7,200,1,14,
